sample_index,value
0,0.7739560485559633
1,0.4388784397520523
2,0.8585979199113825
3,0.6973680290593639
4,0.09417734788764953
5,0.9756223516367559
6,0.761139701990353
7,0.7860643052769538
8,0.12811363267554587
9,0.45038593789556713
10,0.37079802423258124
11,0.9267649888486018
12,0.6438651200806645
13,0.82276161327083
14,0.44341419882733113
15,0.2272387217847769
16,0.5545847870158348
17,0.06381725610417532
18,0.8276311719925821
19,0.6316643991220648
20,0.7580877400853738
21,0.35452596812986836
22,0.9706980243949033
23,0.8931211213221977
24,0.7783834970737619
25,0.19463870785196757
26,0.4667210037270342
27,0.04380376578722878
28,0.15428949206754783
29,0.6830489532424546
30,0.7447621559078171
31,0.96750973243421
32,0.32582535813815194
33,0.3704597060348689
34,0.4695558112758079
35,0.1894713590842857
36,0.12992150533547164
37,0.47570492622593374
38,0.2269093490508841
39,0.6698139946825103
40,0.43715191887233074
41,0.8326781960578374
42,0.7002651020022491
43,0.31236664138204107
44,0.8322598013952011
45,0.8047643574968019
46,0.38747837903017446
47,0.2883281039302441
48,0.6824955039749755
49,0.1397524836093098
50,0.19990820247510832
51,0.007362269751005512
52,0.7869243775021384
53,0.6648508565920321
54,0.7051653786263351
55,0.7807290310219679
56,0.45891577553833995
57,0.5687411959528937
58,0.13979699812765745
59,0.11453007353597344
60,0.6684029617904717
61,0.4710962061431325
62,0.5652361064811888
63,0.7649988574160256
64,0.6347183200005908
65,0.5535794006579958
66,0.5592071607454135
67,0.3039500980626122
68,0.030817834567939406
69,0.43671738923236236
70,0.2145846728195292
71,0.40852864372463615
72,0.8534030732681661
73,0.23393948586534075
74,0.05830274168906602
75,0.28138389202199654
76,0.2935937577666836
77,0.6619165147268951
78,0.5570321523412783
79,0.7838982091064135
80,0.6643135403273875
81,0.4063868614400705
82,0.8140203846660347
83,0.1669729199077039
84,0.022712073133860478
85,0.09004786077564175
86,0.7223593505964503
87,0.4618772302513874
88,0.1612717790336018
89,0.5010447751033635
90,0.15231210271316842
91,0.696320375077736
92,0.4461562755740307
93,0.3810212260964825
94,0.3015120891478765
95,0.6302825931188885
96,0.3618126105533904
97,0.087649919316101
98,0.11800590212051532
99,0.9618976645495145
100,0.908580690707607
101,0.6997071338107496
102,0.2658699614595196
103,0.9691763773477239
104,0.7787509039657946
105,0.7168901891589956
106,0.44936150214378867
107,0.272241561845159
108,0.0963909621534993
109,0.9026023965438417
110,0.45577628983361107
111,0.20236336479523032
112,0.3059566241506525
113,0.579219568941896
114,0.1767727829392317
115,0.8566142840923755
116,0.7585195298352101
117,0.7194629559509368
118,0.4320930397751037
119,0.6273088407024432
120,0.5840979689127356
121,0.64984660155482
122,0.08444432113988909
123,0.41580740217060963
124,0.04161417386189248
125,0.49399081924451893
126,0.3298612123327853
127,0.1445241888660469
128,0.10340296772255164
129,0.587644572177712
130,0.1705929685368861
131,0.9251201183767972
132,0.581061139700395
133,0.34686980453483707
134,0.5909154914814168
135,0.022803871029697498
136,0.9585592132414453
137,0.48230343694290023
138,0.7827352272502862
139,0.08272999992243857
140,0.48665833083816035
141,0.4907069943545209
142,0.9378264549749828
143,0.5717280523760754
144,0.4734894010569538
145,0.2669756630918936
146,0.3315689973425522
147,0.5206724024715378
148,0.4389114603050467
149,0.021612079880330426
150,0.8262919241943578
151,0.8961607718397667
152,0.14024908899861077
153,0.5540361435390494
154,0.10857574113544355
155,0.6722400930398117
156,0.2812337838390083
157,0.6594226346919018
158,0.7269946142868826
159,0.768647491917657
160,0.10774094595589656
161,0.9160118451376079
162,0.23021399089488082
163,0.03741255617617978
164,0.5548524693914834
165,0.37092228386243875
166,0.8297897431324132
167,0.8082514720643018
168,0.31713889282271535
169,0.952899395069745
170,0.2909178381401186
171,0.5150571292317145
172,0.25596509056760275
173,0.9360435700489633
174,0.16460781758201815
175,0.04491061939232899
176,0.43509706000303794
177,0.992375564055837
178,0.891677266254914
179,0.7486080194569492
180,0.8907924908785249
181,0.8934466396978632
182,0.5188583603864491
183,0.315929051830793
184,0.772012432110988
